"IntEmpresa","IntAno","IntPeriodo","StrBanco","IntId","StrDocumento","StrConcepto","IntValor","IntConciliado","DatFecha","StrDetalle","IdSeguridad"
1,2017,2,"07",2,"0000000000","0",81563000.00000,0,2017-02-02 00:00:00.000,Consignacion propia           ,"57C44C18-8145-4A73-BF96-E12E45EFBDEA"
1,2017,2,"07",3,"0000000000","0",73223.00000,1,2017-02-06 00:00:00.000,Consignacion propia           ,"1852F993-6CB1-4A15-B400-558CDBA62884"
1,2017,2,"07",4,"0000000000","0",73223.00000,1,2017-02-07 00:00:00.000,Consignacion propia           ,"30325060-9F77-43F3-9B5C-F88F9FC0E354"
1,2017,2,"07",5,"0000000000","0",73223.00000,1,2017-02-07 00:00:00.000,Consignacion propia           ,"4C643DBC-1F2F-4E8A-AE82-3AB279D6D7F2"
1,2017,2,"07",6,"0000000000","0",278645.00000,1,2017-02-07 00:00:00.000,Consignacion propia           ,EA2EBF2E-7B99-4CEF-8DC1-79F7EC4E3554
1,2017,2,"07",7,"0000000000","0",278645.00000,1,2017-02-07 00:00:00.000,Consignacion propia           ,FDE0F1A9-8349-4FB4-93EE-BB70EA6C50F3
1,2017,2,"07",8,"0000000000","0",400781.00000,1,2017-02-13 00:00:00.000,Consignacion propia           ,"0EC02C8D-2120-4F67-BE23-017BEFBDCD8B"
1,2017,2,"07",9,"0000000000","0",73223.00000,1,2017-02-15 00:00:00.000,Consignacion propia           ,"165C2561-F0D0-4C3F-AC57-F4510D6C850E"
1,2017,2,"07",10,"0000000000","0",384082.00000,1,2017-02-23 00:00:00.000,Consignacion propia           ,"1FF7F67B-68AB-4334-A898-6C70440C42D0"
1,2017,2,"07",11,"0000000000","0",73224.00000,1,2017-02-28 00:00:00.000,Consignacion propia           ,"4A7DD608-3D4C-4C10-8C37-A06BCCB16C9C"
1,2017,2,"07",12,"0000000000","0",73224.00000,1,2017-02-28 00:00:00.000,Consignacion propia           ,"99CE7DDA-7C76-4577-B4B0-BB963368EBBE"
1,2017,2,"07",13,"0000000000","0",254000.00000,1,2017-02-28 00:00:00.000,Consignacion propia           ,B7312750-60C3-4478-BC85-BAC01AA983A8
1,2017,2,"07",14,"0000000000","0",33797092.00000,1,2017-02-17 00:00:00.000,AB dispersion pago proveedores,F3562D10-B9BE-470F-B906-E4BE677987E2
1,2017,2,"07",15,"0000002528","0",579000.00000,1,2017-02-24 00:00:00.000,AB dispersion pago proveedores,"5B02DE51-B56D-4AA7-A81F-F2CD645CFB5F"
1,2017,2,"07",16,"0000000000","0",3454739.00000,1,2017-02-27 00:00:00.000,Abono banco ACH               ,"13F10150-F581-489E-8CE3-31C9B0DD0920"
1,2017,2,"07",17,"0000284665","0",-374639.00000,0,2017-02-13 00:00:00.000,Pagado por caja propio        ,"14E4732F-920E-40B9-82B1-A35C53CAA03C"
1,2017,2,"07",18,"0000284662","0",-374639.00000,0,2017-02-13 00:00:00.000,Pagado por caja propio        ,"5B758023-126C-457F-A667-10AFF7158AC0"
1,2017,2,"07",19,"0000284666","0",-69300000.00000,1,2017-02-15 00:00:00.000,Canje recibido                ,"04FC6DE5-1D3B-4A41-9048-9C048E63148E"
